Name;OLED1_Kontakt2U_K12_U0.00e+000V 1;OLED1_Kontakt2U_K12_U5.00e-001V 1;OLED1_Kontakt2U_K12_U1.00e+000V 1;OLED1_Kontakt2U_K12_U1.50e+000V 1;OLED1_Kontakt2U_K12_U2.00e+000V 1;OLED1_Kontakt2U_K12_U2.50e+000V 1;OLED1_Kontakt2U_K12_U3.00e+000V 1;OLED1_Kontakt2U_K12_U3.50e+000V 1;OLED1_Kontakt2U_K12_U4.00e+000V 1;OLED1_Kontakt2U_K12_U4.50e+000V 1;OLED1_Kontakt2U_K12_U5.00e+000V 1;OLED1_Kontakt2U_K12_U5.50e+000V 1;OLED1_Kontakt2U_K12_U6.00e+000V 1;OLED1_Kontakt2U_K12_U6.50e+000V 1;OLED1_Kontakt2U_K12_U7.00e+000V 1;OLED1_Kontakt2U_K12_U7.50e+000V 1;OLED1_Kontakt2U_K12_U8.00e+000V 1;OLED1_Kontakt2U_K12_U8.50e+000V 1;OLED1_Kontakt2U_K12_U9.00e+000V 1;OLED1_Kontakt2U_K12_U9.50e+000V 1;OLED1_Kontakt2U_K12_U1.00e+001V 1;Name;OLED1_Kontakt2U_K12 1;OLED1_Kontakt2U_K12_U0.00e+000V_Leuchtdichte 1;OLED1_Kontakt2U_K12_U0.00e+000V_Lichtstrom 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEx 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEy 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEz 1;OLED1_Kontakt2U_K12_U0.00e+000V_Beleuchtungsstärke 1;OLED1_Kontakt2U_K12_U0.00e+000V_BeleuchtungsstärkeVIS 1;OLED1_Kontakt2U_K12_U0.00e+000V_PeakX 1;OLED1_Kontakt2U_K12_U0.00e+000V_PeakY 1;
Wellenlänge (m);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Spannung (V);Stromdichte (mA/cm^2);Leuchtdichte (cd/m^2);Lichtstrom (lm);CIEx (1);CIEy (1);CIEz (1);Beleuchtungsstärke (W/m^2);Beleuchtungsstärke VIS (W/m^2);Peak X (m);Peak Y (W/m^2);
3.09000e-007;1.69898e+007;-6.24574e+005;2.32987e+007;6.93348e+006;1.76144e+007;-8.18262e+006;1.44915e+007;-9.43177e+006;-1.69898e+007;1.69898e+007;-1.76144e+007;8.18262e+006;6.30890e+006;1.63652e+007;-6.24574e+005;-1.76144e+007;-1.30859e+008;-1.69898e+007;-5.48245e+009;-1.00563e+007;8.80720e+006;4.50000e+000;5.16424e+001;3.07118e+004;3.18397e+000;4.62845e-001;5.27723e-001;9.43251e-003;2.14218e+002;2.13951e+002;5.51000e-007;2.07098e+009;
3.10000e-007;2.36041e+007;-0.00000e+000;-4.19910e+006;1.25973e+007;1.86097e+007;8.39821e+006;7.60294e+006;1.18020e+007;-6.80767e+006;2.43994e+007;-6.80767e+006;1.60011e+007;3.04118e+007;-1.36153e+007;1.60011e+007;-3.40384e+006;-7.52341e+007;1.60011e+007;-4.63881e+009;-7.95269e+005;1.52059e+007;5.00000e+000;8.66727e+001;1.43582e+004;1.48855e+000;6.53213e-001;3.45440e-001;1.34678e-003;2.56898e+002;2.56817e+002;6.11000e-007;2.58780e+009;
3.11000e-007;1.05334e+007;-7.53064e+006;-0.00000e+000;-1.16654e+007;1.27974e+007;-1.09265e+007;-6.39868e+006;2.10669e+007;-7.53064e+006;-1.05334e+007;-7.53064e+006;-1.13196e+006;-1.91960e+007;-0.00000e+000;-2.03280e+007;-1.91960e+007;-7.90481e+007;-4.36588e+007;-3.84935e+009;-1.80641e+007;-3.08614e+007;5.50000e+000;1.26685e+002;6.79276e+004;7.04223e+000;4.59949e-001;5.29996e-001;1.00544e-002;4.71571e+002;4.71082e+002;5.50000e-007;4.50527e+009;
3.12000e-007;-6.21802e+006;-1.02360e+006;-4.17083e+006;1.45597e+007;9.36525e+006;-8.26521e+006;-4.17083e+006;-5.19442e+006;1.02360e+006;-9.36525e+006;-8.26521e+006;1.03888e+007;-1.35361e+007;1.02360e+006;-1.03888e+007;3.14723e+006;-7.79164e+007;-1.66069e+007;-2.97830e+009;-4.17083e+006;-3.07079e+006;6.00000e+000;1.75030e+002;8.50277e+004;8.81504e+000;4.62746e-001;5.26704e-001;1.05502e-002;5.96574e+002;5.96155e+002;5.67000e-007;5.42185e+009;
3.13000e-007;-5.55341e+005;-1.11068e+006;-7.92894e+006;1.16207e+006;1.16207e+006;-8.53567e+006;-1.87888e+007;-1.30812e+007;-0.00000e+000;-1.08084e+007;-5.15224e+006;3.43482e+006;4.59690e+006;-6.81826e+006;-2.05062e+007;-1.47986e+007;-5.92458e+007;-1.30812e+007;-2.28631e+009;-1.25258e+007;2.87948e+006;6.50000e+000;2.31100e+002;9.47878e+004;9.82690e+000;4.69018e-001;5.18852e-001;1.21306e-002;6.83857e+002;6.83180e+002;5.84000e-007;5.92892e+009;
3.14000e-007;-1.06482e+007;-1.39295e+007;-5.57182e+006;-1.16390e+007;-1.67154e+007;-1.39295e+007;-2.19570e+007;-1.67154e+007;-1.93362e+007;-1.39295e+007;-1.35993e+007;-1.13088e+007;-1.11436e+007;-1.68806e+007;-1.13088e+007;-2.47429e+007;-5.80087e+007;-1.91711e+007;-1.57272e+009;-2.44126e+007;-1.09785e+007;7.00000e+000;2.95788e+002;6.25370e+004;6.48338e+000;5.48127e-001;4.49476e-001;2.39735e-003;5.42809e+002;5.42589e+002;5.77000e-007;5.34801e+009;
3.15000e-007;3.76307e+006;2.18142e+006;6.92637e+006;1.19955e+006;2.78120e+006;-9.81877e+005;2.78120e+006;4.85379e+006;1.19955e+006;3.65424e+006;8.99896e+006;-9.81877e+005;4.90938e+005;1.08835e+005;1.69049e+006;1.69049e+006;-1.72893e+007;3.76307e+006;-8.49619e+008;2.18142e+006;-0.00000e+000;7.50000e+000;3.56818e+002;9.97908e+004;1.03456e+001;4.66014e-001;5.18479e-001;1.55068e-002;7.26579e+002;7.26131e+002;5.91000e-007;6.22200e+009;
3.16000e-007;6.33511e+005;7.68357e+005;1.34846e+005;-1.34846e+005;1.35725e+004;-5.12238e+005;1.35725e+004;3.90965e+005;3.77392e+005;-2.14308e+006;-3.63819e+005;-4.85093e+005;-3.77392e+005;1.48418e+005;-1.50957e+006;6.33511e+005;-4.01647e+006;8.89630e+005;-2.00422e+008;-4.98665e+005;1.01090e+006;8.00000e+000;4.19000e+002;2.12416e+002;2.20217e-002;6.38451e-001;2.58383e-001;1.03166e-001;1.27829e+003;1.27532e+003;7.33000e-007;1.77997e+010;
3.17000e-007;-3.19460e+006;-4.73546e+006;-3.94622e+006;-2.44298e+006;-7.14000e+005;-2.36773e+006;3.76220e+004;-2.36773e+006;-2.36773e+006;-4.77309e+006;-6.38756e+005;-3.87098e+006;-4.77309e+006;-3.04411e+006;-5.52471e+006;-2.36773e+006;8.38153e+006;-1.54087e+006;4.26926e+008;-5.56233e+006;-1.57849e+006;8.50000e+000;4.83303e+002;9.13724e+004;9.47281e+000;4.39924e-001;5.41016e-001;1.90609e-002;6.20825e+002;6.20421e+002;5.74000e-007;5.62140e+009;
3.18000e-007;2.97606e+006;1.06281e+007;4.89678e+006;7.40037e+006;1.66906e+006;8.59696e+006;4.53472e+006;3.70019e+006;2.97606e+006;1.01556e+007;4.89678e+006;1.33833e+007;2.86565e+006;7.40037e+006;3.70019e+006;9.43149e+006;2.19803e+007;3.70019e+006;1.04447e+009;1.66906e+006;8.23490e+006;9.00000e+000;5.56909e+002;7.51580e+001;7.79183e-003;1.69935e-001;5.86538e-002;7.71411e-001;-3.47295e+001;6.89528e+000;3.20000e-007;2.16715e+009;
